step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),step(s),keep_prob=0.1,keep_prob=0.2,keep_prob=0.3,keep_prob=0.4,keep_prob=0.5,keep_prob=0.6,keep_prob=0.7,keep_prob=0.8,keep_prob=0.9,keep_prob=1.0
20,20,20,20,20,20,20,20,20,20,0.140625,0.078125,0.046875,0.125,0.109375,0.15625,0.140625,0.140625,0.109375,0.171875
40,40,40,40,40,40,40,40,40,40,0.125,0.109375,0.125,0.21875,0.109375,0.09375,0.140625,0.234375,0.234375,0.109375
60,60,60,60,60,60,60,60,60,60,0.109375,0.09375,0.09375,0.046875,0.15625,0.171875,0.1875,0.09375,0.1875,0.125
80,80,80,80,80,80,80,80,80,80,0.0625,0.125,0.140625,0.078125,0.1875,0.203125,0.203125,0.15625,0.375,0.140625
100,100,100,100,100,100,100,100,100,100,0.125,0.09375,0.109375,0.109375,0.046875,0.109375,0.1875,0.296875,0.359375,0.359375
120,120,120,120,120,120,120,120,120,120,0.046875,0.109375,0.140625,0.125,0.28125,0.171875,0.265625,0.390625,0.484375,0.34375
140,140,140,140,140,140,140,140,140,140,0.109375,0.15625,0.09375,0.078125,0.140625,0.25,0.421875,0.5625,0.578125,0.453125
160,160,160,160,160,160,160,160,160,160,0.078125,0.046875,0.171875,0.09375,0.109375,0.421875,0.390625,0.515625,0.484375,0.609375
180,180,180,180,180,180,180,180,180,180,0.09375,0.046875,0.109375,0.078125,0.15625,0.375,0.421875,0.40625,0.640625,0.59375
200,200,200,200,200,200,200,200,200,200,0.15625,0.0625,0.140625,0.21875,0.140625,0.375,0.40625,0.46875,0.578125,0.625
220,220,220,220,220,220,220,220,220,220,0.078125,0.125,0.15625,0.140625,0.09375,0.390625,0.453125,0.640625,0.5625,0.609375
240,240,240,240,240,240,240,240,240,240,0.078125,0.0625,0.140625,0.28125,0.1875,0.515625,0.609375,0.53125,0.734375,0.609375
260,260,260,260,260,260,260,260,260,260,0.09375,0.09375,0.09375,0.203125,0.25,0.3125,0.40625,0.546875,0.734375,0.65625
280,280,280,280,280,280,280,280,280,280,0.03125,0.078125,0.09375,0.1875,0.5,0.46875,0.609375,0.546875,0.578125,0.59375
300,300,300,300,300,300,300,300,300,300,0.078125,0.109375,0.109375,0.234375,0.109375,0.390625,0.546875,0.53125,0.671875,0.65625
320,320,320,320,320,320,320,320,320,320,0.125,0.125,0.25,0.25,0.390625,0.390625,0.578125,0.5,0.703125,0.703125
340,340,340,340,340,340,340,340,340,340,0.109375,0.140625,0.078125,0.328125,0.3125,0.53125,0.46875,0.59375,0.640625,0.65625
360,360,360,360,360,360,360,360,360,360,0.109375,0.09375,0.171875,0.328125,0.375,0.5,0.53125,0.640625,0.640625,0.71875
380,380,380,380,380,380,380,380,380,380,0.078125,0.1875,0.171875,0.171875,0.4375,0.453125,0.5,0.671875,0.65625,0.671875
400,400,400,400,400,400,400,400,400,400,0.109375,0.046875,0.09375,0.234375,0.421875,0.484375,0.59375,0.75,0.671875,0.8125
420,420,420,420,420,420,420,420,420,420,0.0625,0.0625,0.125,0.21875,0.40625,0.5625,0.46875,0.71875,0.703125,0.796875
440,440,440,440,440,440,440,440,440,440,0.0625,0.109375,0.1875,0.28125,0.265625,0.546875,0.640625,0.546875,0.671875,0.671875
460,460,460,460,460,460,460,460,460,460,0.171875,0.125,0.203125,0.5,0.59375,0.5,0.625,0.734375,0.765625,0.734375
480,480,480,480,480,480,480,480,480,480,0.125,0.09375,0.3125,0.453125,0.5,0.453125,0.6875,0.6875,0.765625,0.734375
500,500,500,500,500,500,500,500,500,500,0.078125,0.140625,0.296875,0.34375,0.359375,0.578125,0.59375,0.609375,0.75,0.6875
520,520,520,520,520,520,520,520,520,520,0.03125,0.09375,0.140625,0.359375,0.609375,0.609375,0.71875,0.546875,0.640625,0.671875
540,540,540,540,540,540,540,540,540,540,0.09375,0.140625,0.140625,0.375,0.5,0.75,0.625,0.703125,0.796875,0.75
560,560,560,560,560,560,560,560,560,560,0.078125,0.109375,0.25,0.296875,0.5625,0.5625,0.640625,0.6875,0.703125,0.609375
580,580,580,580,580,580,580,580,580,580,0.125,0.109375,0.078125,0.25,0.515625,0.484375,0.78125,0.703125,0.75,0.796875
600,600,600,600,600,600,600,600,600,600,0.109375,0.15625,0.078125,0.46875,0.5625,0.515625,0.671875,0.625,0.625,0.625
620,620,620,620,620,620,620,620,620,620,0.109375,0.09375,0.296875,0.40625,0.671875,0.640625,0.765625,0.78125,0.71875,0.796875
640,640,640,640,640,640,640,640,640,640,0.125,0.15625,0.15625,0.46875,0.65625,0.625,0.71875,0.75,0.625,0.8125
660,660,660,660,660,660,660,660,660,660,0.03125,0.109375,0.109375,0.28125,0.609375,0.640625,0.609375,0.734375,0.671875,0.734375
680,680,680,680,680,680,680,680,680,680,0.109375,0.125,0.40625,0.390625,0.4375,0.484375,0.65625,0.59375,0.546875,0.703125
700,700,700,700,700,700,700,700,700,700,0.09375,0.15625,0.46875,0.421875,0.5,0.609375,0.671875,0.75,0.71875,0.71875
720,720,720,720,720,720,720,720,720,720,0.078125,0.171875,0.3125,0.46875,0.609375,0.609375,0.6875,0.59375,0.71875,0.671875
740,740,740,740,740,740,740,740,740,740,0.125,0.15625,0.109375,0.515625,0.625,0.625,0.671875,0.640625,0.734375,0.703125
760,760,760,760,760,760,760,760,760,760,0.0625,0.15625,0.28125,0.5625,0.59375,0.625,0.65625,0.765625,0.703125,0.796875
780,780,780,780,780,780,780,780,780,780,0.09375,0.140625,0.203125,0.546875,0.515625,0.609375,0.59375,0.734375,0.65625,0.8125
800,800,800,800,800,800,800,800,800,800,0.078125,0.078125,0.25,0.515625,0.625,0.796875,0.65625,0.703125,0.75,0.671875
820,820,820,820,820,820,820,820,820,820,0.0625,0.125,0.296875,0.46875,0.640625,0.59375,0.796875,0.65625,0.734375,0.65625
840,840,840,840,840,840,840,840,840,840,0.15625,0.109375,0.25,0.421875,0.546875,0.765625,0.640625,0.765625,0.6875,0.78125
860,860,860,860,860,860,860,860,860,860,0.15625,0.0625,0.375,0.5625,0.59375,0.734375,0.6875,0.640625,0.65625,0.859375
880,880,880,880,880,880,880,880,880,880,0.1875,0.015625,0.296875,0.421875,0.53125,0.734375,0.765625,0.828125,0.671875,0.8125
900,900,900,900,900,900,900,900,900,900,0.09375,0.15625,0.390625,0.546875,0.59375,0.671875,0.75,0.640625,0.78125,0.734375
920,920,920,920,920,920,920,920,920,920,0.078125,0.15625,0.21875,0.53125,0.640625,0.703125,0.71875,0.6875,0.828125,0.859375
940,940,940,940,940,940,940,940,940,940,0.15625,0.0625,0.40625,0.75,0.6875,0.5,0.71875,0.71875,0.75,0.625
960,960,960,960,960,960,960,960,960,960,0.0625,0.09375,0.421875,0.75,0.65625,0.6875,0.703125,0.703125,0.765625,0.78125
980,980,980,980,980,980,980,980,980,980,0.140625,0.09375,0.21875,0.53125,0.71875,0.8125,0.65625,0.6875,0.71875,0.65625
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.125,0.078125,0.59375,0.6875,0.640625,0.640625,0.671875,0.734375,0.734375,0.6875
1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,0.140625,0.203125,0.34375,0.53125,0.734375,0.59375,0.734375,0.6875,0.875,0.765625
1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,0.109375,0.203125,0.484375,0.5625,0.703125,0.671875,0.71875,0.71875,0.734375,0.671875
1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,0.25,0.171875,0.4375,0.6875,0.671875,0.6875,0.78125,0.796875,0.6875,0.78125
1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,0.125,0.109375,0.40625,0.59375,0.71875,0.734375,0.765625,0.734375,0.765625,0.8125
1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,0.125,0.09375,0.40625,0.65625,0.78125,0.734375,0.625,0.765625,0.78125,0.828125
1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0.078125,0.09375,0.3125,0.640625,0.625,0.609375,0.890625,0.75,0.71875,0.8125
1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,0.078125,0.203125,0.453125,0.515625,0.703125,0.703125,0.6875,0.703125,0.71875,0.734375
1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,0.15625,0.09375,0.28125,0.5625,0.609375,0.59375,0.59375,0.703125,0.703125,0.765625
1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,0.109375,0.078125,0.390625,0.609375,0.609375,0.671875,0.734375,0.703125,0.859375,0.78125
1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0.140625,0.15625,0.359375,0.53125,0.515625,0.8125,0.8125,0.796875,0.734375,0.6875
1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,0.09375,0.21875,0.515625,0.53125,0.71875,0.640625,0.71875,0.734375,0.71875,0.765625
1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0.15625,0.171875,0.234375,0.625,0.71875,0.59375,0.75,0.78125,0.6875,0.765625
1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,0.140625,0.0625,0.375,0.5,0.765625,0.6875,0.78125,0.75,0.8125,0.734375
1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,0.09375,0.015625,0.3125,0.578125,0.78125,0.734375,0.71875,0.75,0.75,0.84375
1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,0.09375,0.171875,0.234375,0.625,0.765625,0.8125,0.8125,0.71875,0.734375,0.765625
1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,0.140625,0.1875,0.328125,0.640625,0.65625,0.78125,0.671875,0.8125,0.765625,0.84375
1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,0.09375,0.203125,0.375,0.734375,0.59375,0.734375,0.828125,0.78125,0.78125,0.765625
1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,0.125,0.109375,0.375,0.828125,0.640625,0.765625,0.765625,0.75,0.78125,0.78125
1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,0.0625,0.203125,0.453125,0.640625,0.671875,0.734375,0.8125,0.703125,0.6875,0.828125
1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,0.125,0.15625,0.4375,0.546875,0.765625,0.65625,0.796875,0.6875,0.828125,0.765625
1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,0.09375,0.171875,0.4375,0.65625,0.578125,0.609375,0.78125,0.828125,0.71875,0.71875
1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,0.09375,0.046875,0.53125,0.640625,0.640625,0.78125,0.71875,0.734375,0.6875,0.796875
1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,0.09375,0.171875,0.359375,0.8125,0.75,0.78125,0.640625,0.84375,0.75,0.859375
1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,0.1875,0.1875,0.359375,0.609375,0.71875,0.734375,0.734375,0.75,0.671875,0.71875
1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0.125,0.125,0.46875,0.765625,0.765625,0.703125,0.8125,0.6875,0.75,0.75
1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,0.09375,0.171875,0.359375,0.625,0.703125,0.6875,0.84375,0.8125,0.859375,0.765625
1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,0.078125,0.09375,0.40625,0.609375,0.703125,0.71875,0.828125,0.6875,0.75,0.75
1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,0.015625,0.140625,0.28125,0.6875,0.75,0.703125,0.640625,0.671875,0.796875,0.859375
1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,0.09375,0.15625,0.40625,0.5625,0.734375,0.765625,0.6875,0.671875,0.78125,0.828125
1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,0.0625,0.203125,0.4375,0.578125,0.578125,0.703125,0.609375,0.734375,0.765625,0.8125
1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,0.078125,0.25,0.328125,0.578125,0.6875,0.6875,0.734375,0.78125,0.75,0.8125
1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,0.125,0.140625,0.40625,0.703125,0.796875,0.703125,0.71875,0.734375,0.84375,0.8125
1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,0.125,0.25,0.40625,0.609375,0.71875,0.65625,0.734375,0.703125,0.875,0.859375
1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,0.140625,0.21875,0.546875,0.6875,0.671875,0.75,0.6875,0.71875,0.8125,0.828125
1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0.125,0.09375,0.1875,0.6875,0.671875,0.625,0.78125,0.71875,0.796875,0.875
1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,0.140625,0.125,0.515625,0.6875,0.796875,0.671875,0.6875,0.75,0.6875,0.78125
1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,0.1875,0.15625,0.640625,0.546875,0.828125,0.828125,0.859375,0.71875,0.71875,0.84375
1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,0.140625,0.203125,0.40625,0.734375,0.640625,0.625,0.765625,0.78125,0.703125,0.75
1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,0.140625,0.125,0.5625,0.65625,0.609375,0.6875,0.71875,0.71875,0.78125,0.8125
1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0.140625,0.109375,0.609375,0.625,0.8125,0.734375,0.75,0.828125,0.765625,0.796875
1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,0.109375,0.421875,0.28125,0.6875,0.625,0.6875,0.71875,0.921875,0.625,0.75
1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,0.15625,0.171875,0.5625,0.6875,0.546875,0.765625,0.703125,0.765625,0.828125,0.84375
1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0.09375,0.109375,0.609375,0.6875,0.59375,0.703125,0.6875,0.6875,0.78125,0.859375
1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,0.09375,0.234375,0.296875,0.78125,0.59375,0.734375,0.703125,0.828125,0.859375,0.875
1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,0.09375,0.203125,0.375,0.6875,0.8125,0.84375,0.734375,0.796875,0.828125,0.875
1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,0.109375,0.25,0.640625,0.796875,0.8125,0.640625,0.75,0.734375,0.859375,0.75
1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,0.109375,0.328125,0.515625,0.6875,0.796875,0.703125,0.765625,0.78125,0.8125,0.734375
1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,0.109375,0.078125,0.328125,0.5625,0.6875,0.828125,0.875,0.890625,0.84375,0.8125
1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,0.09375,0.140625,0.46875,0.703125,0.796875,0.734375,0.828125,0.765625,0.796875,0.90625
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.15625,0.296875,0.546875,0.765625,0.703125,0.734375,0.71875,0.890625,0.703125,0.828125
2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,0.046875,0.140625,0.46875,0.609375,0.65625,0.78125,0.65625,0.890625,0.75,0.75
2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,0.09375,0.375,0.484375,0.6875,0.6875,0.6875,0.84375,0.796875,0.859375,0.78125
2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,0.1875,0.375,0.640625,0.5625,0.71875,0.796875,0.671875,0.78125,0.828125,0.828125
2080,2080,2080,2080,2080,2080,2080,2080,2080,2080,0.109375,0.109375,0.359375,0.59375,0.65625,0.6875,0.734375,0.796875,0.8125,0.796875
2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,0.09375,0.28125,0.4375,0.703125,0.65625,0.765625,0.765625,0.75,0.78125,0.84375
2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,0.046875,0.28125,0.609375,0.71875,0.75,0.734375,0.78125,0.796875,0.796875,0.890625
2140,2140,2140,2140,2140,2140,2140,2140,2140,2140,0.09375,0.4375,0.46875,0.6875,0.640625,0.78125,0.875,0.859375,0.734375,0.859375
2160,2160,2160,2160,2160,2160,2160,2160,2160,2160,0.09375,0.125,0.453125,0.75,0.65625,0.765625,0.8125,0.84375,0.828125,0.859375
2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,0.140625,0.28125,0.484375,0.75,0.734375,0.6875,0.765625,0.71875,0.78125,0.84375
2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,0.0625,0.34375,0.640625,0.796875,0.6875,0.625,0.6875,0.8125,0.75,0.796875
2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,0.140625,0.28125,0.4375,0.671875,0.625,0.65625,0.890625,0.734375,0.78125,0.890625
2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,0.0625,0.296875,0.421875,0.640625,0.71875,0.671875,0.734375,0.71875,0.8125,0.859375
2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,0.140625,0.203125,0.609375,0.765625,0.765625,0.8125,0.734375,0.703125,0.796875,0.828125
2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,0.078125,0.359375,0.4375,0.625,0.75,0.765625,0.875,0.765625,0.65625,0.84375
2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.078125,0.328125,0.53125,0.8125,0.6875,0.828125,0.71875,0.734375,0.8125,0.84375
2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,0.15625,0.3125,0.40625,0.78125,0.765625,0.6875,0.828125,0.8125,0.84375,0.875
2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,0.203125,0.375,0.59375,0.75,0.640625,0.65625,0.78125,0.71875,0.875,0.890625
2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,0.109375,0.328125,0.515625,0.71875,0.75,0.75,0.828125,0.8125,0.796875,0.84375
2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,0.140625,0.21875,0.5,0.75,0.578125,0.5625,0.796875,0.78125,0.8125,0.75
2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0.0625,0.59375,0.640625,0.625,0.828125,0.765625,0.828125,0.734375,0.796875,0.78125
2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,0.15625,0.078125,0.609375,0.609375,0.75,0.84375,0.765625,0.84375,0.734375,0.84375
2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,0.0625,0.296875,0.59375,0.671875,0.734375,0.8125,0.796875,0.765625,0.890625,0.828125
2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,0.109375,0.515625,0.546875,0.640625,0.703125,0.75,0.796875,0.78125,0.78125,0.8125
2480,2480,2480,2480,2480,2480,2480,2480,2480,2480,0.109375,0.25,0.46875,0.625,0.71875,0.6875,0.75,0.78125,0.8125,0.84375
2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0.078125,0.578125,0.5625,0.75,0.703125,0.75,0.8125,0.625,0.890625,0.859375
2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,0.15625,0.3125,0.484375,0.6875,0.734375,0.6875,0.890625,0.78125,0.671875,0.78125
2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,0.09375,0.234375,0.4375,0.671875,0.703125,0.8125,0.75,0.796875,0.8125,0.796875
2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,0.25,0.296875,0.34375,0.734375,0.75,0.796875,0.65625,0.828125,0.75,0.8125
2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,0.109375,0.28125,0.484375,0.703125,0.8125,0.78125,0.90625,0.78125,0.8125,0.875
2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0.09375,0.515625,0.4375,0.640625,0.765625,0.765625,0.75,0.875,0.953125,0.84375
2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,0.09375,0.265625,0.65625,0.75,0.703125,0.8125,0.859375,0.890625,0.875,0.90625
2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,0.125,0.328125,0.515625,0.703125,0.59375,0.625,0.8125,0.78125,0.84375,0.84375
2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,0.125,0.359375,0.546875,0.625,0.71875,0.703125,0.84375,0.65625,0.734375,0.875
2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,0.140625,0.453125,0.609375,0.625,0.765625,0.671875,0.78125,0.84375,0.875,0.84375
2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,0.09375,0.21875,0.515625,0.734375,0.6875,0.796875,0.734375,0.8125,0.8125,0.84375
2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,0.109375,0.3125,0.46875,0.640625,0.671875,0.78125,0.71875,0.734375,0.84375,0.78125
2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,0.109375,0.46875,0.53125,0.640625,0.671875,0.6875,0.84375,0.671875,0.765625,0.828125
2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,0.125,0.34375,0.59375,0.703125,0.796875,0.796875,0.765625,0.828125,0.8125,0.78125
2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,0.109375,0.46875,0.578125,0.65625,0.71875,0.796875,0.8125,0.8125,0.765625,0.8125
2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,0.109375,0.28125,0.6875,0.734375,0.75,0.765625,0.796875,0.8125,0.859375,0.84375
2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,0.109375,0.265625,0.40625,0.6875,0.703125,0.71875,0.875,0.78125,0.78125,0.953125
2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,0.125,0.5625,0.546875,0.796875,0.703125,0.78125,0.828125,0.84375,0.828125,0.765625
2860,2860,2860,2860,2860,2860,2860,2860,2860,2860,0.09375,0.265625,0.625,0.75,0.75,0.703125,0.78125,0.75,0.84375,0.875
2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,0.109375,0.53125,0.546875,0.765625,0.8125,0.84375,0.875,0.765625,0.84375,0.890625
2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,0.078125,0.375,0.53125,0.6875,0.75,0.796875,0.8125,0.875,0.8125,0.734375
2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,0.125,0.359375,0.53125,0.703125,0.6875,0.640625,0.75,0.796875,0.890625,0.859375
2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,0.078125,0.53125,0.5,0.71875,0.671875,0.71875,0.703125,0.875,0.703125,0.828125
2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,0.171875,0.25,0.5625,0.515625,0.75,0.796875,0.796875,0.796875,0.90625,0.875
2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,0.109375,0.3125,0.484375,0.53125,0.734375,0.828125,0.78125,0.828125,0.75,0.75
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0.09375,0.546875,0.46875,0.71875,0.765625,0.71875,0.765625,0.828125,0.71875,0.796875
3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,0.15625,0.453125,0.546875,0.671875,0.640625,0.8125,0.765625,0.75,0.6875,0.84375
3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0.078125,0.25,0.5625,0.671875,0.8125,0.765625,0.78125,0.796875,0.8125,0.90625
3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,0.15625,0.609375,0.421875,0.734375,0.734375,0.828125,0.8125,0.859375,0.828125,0.84375
3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,0.078125,0.546875,0.515625,0.6875,0.765625,0.78125,0.875,0.78125,0.75,0.84375
3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,0.0625,0.375,0.53125,0.78125,0.875,0.75,0.78125,0.75,0.828125,0.828125
3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,0.125,0.5625,0.578125,0.640625,0.734375,0.75,0.796875,0.859375,0.765625,0.765625
